Phase,Task ID,Task,File / Module,Description,Effort,Priority,Status,Blockers,DevOps,SA,BE,FE Creator,FE Admin,QC,Design,BA,PM,Total (hours),Notes
1. Setup,SETUP-01,Tạo repo + cấu trúc monorepo,N/A,"Khởi tạo repo crm-at + setup monorepo (backend, admin, creator-fe, event-fe)",S,P0,Ready,,4,2,2,1,1,0,0,0,2,12,
1. Setup,SETUP-02,Setup AWS infrastructure cho AT,Infra,"Provision EC2/ECS, VPC, security groups cho môi trường dev/staging/prod",M,P0,Ready,,16,2,0,0,0,1,0,0,2,21,
1. Setup,SETUP-03,Setup MongoDB cluster (multi-tenant ready),Infra,"MongoDB Atlas hoặc self-hosted, schema design hỗ trợ multi-tenant từ đầu",M,P0,Ready,,8,2,2,0,0,1,0,0,1,14,Tenant key trong mọi collection
1. Setup,SETUP-04,Setup Redis cho cache + queue,Infra,"Redis cho session, cache, BullMQ/Asynq queue",S,P0,Ready,,4,1,1,0,0,0,0,0,0,6,
1. Setup,SETUP-05,Setup MinIO/S3 storage,Infra,"Buckets cho avatar, content media, contract PDF, export file",S,P0,Ready,,3,0,1,0,0,0,0,0,0,4,
1. Setup,SETUP-06,Setup domain + DNS + SSL,Infra,"vcreator.demo.accesstrade.click + production domains, Cloudflare DNS + SSL",S,P0,Ready,,4,0,0,0,0,0,0,0,1,5,
1. Setup,SETUP-07,Setup AWS SES email service,Infra,"SES verify domain + DKIM + SPF + bounce handling",S,P0,Ready,,3,0,1,0,0,0,0,0,0,4,
1. Setup,SETUP-08,Setup CI/CD pipeline,.github/workflows/ + Dockerfile,"Build + test + deploy auto cho 3 môi trường",M,P0,Ready,,8,1,2,1,1,1,0,0,1,15,
1. Setup,SETUP-09,Setup ENV + secret management,backend/.env + AWS Secrets Manager,"Env file template + secret rotation strategy",S,P0,Ready,,3,1,2,1,1,0,0,0,1,9,
1. Setup,SETUP-10,Setup monitoring + logging,Datadog/Grafana + CloudWatch,"APM, error tracking (Sentry), log aggregation",M,P0,Ready,,12,1,2,0,0,1,0,0,1,17,
2. Foundation,FOUND-01,Multi-tenant data model + middleware,backend/internal/middleware/tenant,"Tenant context injection, row-level isolation, tenant resolver từ subdomain/header",L,P0,Ready,,0,4,24,0,0,4,0,2,2,36,M13 - critical foundation
2. Foundation,FOUND-02,Auth + RBAC core,backend/internal/module/auth,"Login (email/SSO), JWT, role + permission matrix per tenant",L,P0,Ready,,0,2,24,4,4,4,0,1,2,41,
2. Foundation,FOUND-03,User + role management admin UI,admin/src/pages/users,"CRUD users, assign roles per tenant, audit log",M,P0,Ready,,0,1,8,0,16,2,1,1,1,30,
2. Foundation,FOUND-04,Tenant onboarding flow,admin/src/pages/tenants,"Tạo tenant mới (TCB, VinFast...), config branding, contact, SLA defaults",M,P0,Ready,,0,2,12,0,16,2,2,2,2,38,
2. Foundation,FOUND-05,Audit log infrastructure,backend/internal/module/audit,"Log mọi action quan trọng, tenant-scoped, query API",M,P0,Ready,,0,1,16,0,4,2,0,1,1,25,
3. Phase 0 - Event,EVENT-01,Landing page Creator For Vietnam,event-fe/src/app/landing,"Hero, value prop, agenda, speakers, integration với 12 campaigns marquee",M,P0,Ready,§D1 design final,0,1,4,16,0,2,16,1,1,41,
3. Phase 0 - Event,EVENT-02,Form đăng ký 3 bước,event-fe/src/app/register,"Step 1 thông tin cá nhân, Step 2 social handles, Step 3 confirm + consent",M,P0,Ready,,0,1,8,16,0,3,4,1,1,34,
3. Phase 0 - Event,EVENT-03,Submit handler + creator record creation,backend/internal/module/event,"Receive form, validate, dedupe handle, lưu creator + event_registration",M,P0,Ready,,0,1,12,2,0,2,0,1,1,19,
3. Phase 0 - Event,EVENT-04,Tier scoring sync (event variant),backend/internal/service/scoring,"Quick score sau đăng ký để hiển thị Wow page (Bronze/Silver/Gold/Diamond predict)",M,P0,Ready,§D2 score formula,0,2,16,2,0,2,0,2,1,25,
3. Phase 0 - Event,EVENT-05,Welcome / Wow page,event-fe/src/app/welcome,"Hiển thị tier predicted + animation + CTA share + matched campaigns",M,P0,Ready,,0,0,4,16,0,3,8,1,1,33,
3. Phase 0 - Event,EVENT-06,Profile card sharable,event-fe/src/app/welcome/[handle],"Trang public profile card có OG image, share Facebook/Zalo, scroll multiple",M,P0,Ready,,0,0,8,16,0,2,8,1,1,36,
3. Phase 0 - Event,EVENT-07,Add channel UX (header floating),event-fe/src/components,"Nút thêm kênh sau khi đăng ký, popup form, append vào profile",S,P0,Ready,,0,0,4,8,0,2,2,0,0,16,
3. Phase 0 - Event,EVENT-08,Email confirmation event,backend/internal/module/smtp/templates,"Email confirm đăng ký + reminder 1 ngày trước event",S,P0,Ready,,0,0,4,0,0,1,2,1,0,8,
3. Phase 0 - Event,EVENT-09,Dashboard event registration (admin),admin/src/pages/events,"Danh sách đăng ký, filter, export CSV, gửi reminder",M,P0,Ready,,0,0,8,0,16,2,1,1,1,29,
3. Phase 0 - Event,EVENT-10,Campaign integration (read-only từ ambassador),backend/internal/module/campaign + event-fe,"Sync 12 campaign từ ambassador.koc.com.vn, hiển thị marquee + matched",M,P0,Ready,,0,1,8,8,0,2,2,1,1,23,
4. Phase 1A - M1 Identity,M1-01,Creator master data model,backend/internal/model/creator,"Schema creator, channels, contacts, tags, tenant-scoped",M,P0,Ready,,0,2,16,0,0,2,0,2,1,23,
4. Phase 1A - M1 Identity,M1-02,Multi-channel handle dedup logic,backend/internal/service/creator/dedup,"Phát hiện cùng creator với nhiều handle, merge UI hỗ trợ",M,P0,Ready,,0,1,16,0,4,3,0,1,1,26,
4. Phase 1A - M1 Identity,M1-03,Creator List page (admin),admin/src/pages/creators,"Table, filter (tier/owner/source/status), search, bulk actions",L,P0,Ready,§D3 mockup,0,1,8,0,32,4,2,1,2,50,
4. Phase 1A - M1 Identity,M1-04,Trang chi tiết creator,admin/src/pages/creators/[id],"Profile tab, channels tab, history tab, conversations tab, owner timeline",L,P0,Ready,§D3 mockup,0,1,12,0,40,4,3,1,2,63,
4. Phase 1A - M1 Identity,M1-05,Manual + bulk import creators,admin/src/pages/creators/import,"CSV/Excel import, validation, preview, dedupe handling",M,P0,Ready,,0,0,12,0,12,2,1,1,1,29,
4. Phase 1A - M2 Lifecycle,M2-01,Lifecycle state machine,backend/internal/service/lifecycle,"7 trạng thái V2 (Lead → Activated → Engaged → ...), transition rules, guards",L,P0,Ready,§B1 V2 process final,0,3,32,0,0,4,0,3,2,44,Core engine
4. Phase 1A - M2 Lifecycle,M2-02,Auto-transition rules engine,backend/internal/service/lifecycle/rules,"Rule-based: GMV threshold, idle days, content count → auto move stage",M,P0,Ready,,0,2,16,0,0,2,0,2,1,23,
4. Phase 1A - M2 Lifecycle,M2-03,Lifecycle UI (stage badge + history),admin/src/components/lifecycle,"Badge hiển thị, drawer history transitions, manual override với reason",M,P0,Ready,,0,0,8,0,16,2,1,1,1,29,
4. Phase 1A - M2 Lifecycle,M2-04,Stage entry/exit hooks,backend/internal/service/lifecycle/hooks,"Trigger notification, task creation, scoring re-eval khi đổi stage",M,P0,Ready,,0,1,12,0,0,2,0,1,1,17,
4. Phase 1A - M5 Owner,M5-01,Owner assignment model,backend/internal/model/assignment,"Schema owner-creator mapping, ownership history, capacity per owner",S,P0,Ready,,0,1,8,0,0,1,0,1,1,12,
4. Phase 1A - M5 Owner,M5-02,Auto round-robin assignment,backend/internal/service/assignment/auto,"Round-robin theo industry/region/capacity, fallback rules",M,P0,Ready,,0,1,12,0,0,2,0,1,1,17,
4. Phase 1A - M5 Owner,M5-03,Workload dashboard,admin/src/pages/workload,"Per-owner: count by tier, in-progress tasks, overdue, capacity bar",M,P0,Ready,§D4 mockup,0,0,4,0,16,2,2,1,1,26,
4. Phase 1A - M5 Owner,M5-04,Manual reassign + bulk reassign,admin/src/pages/creators (action),"UI reassign 1 hoặc nhiều creator, log lý do",S,P0,Ready,,0,0,4,0,8,1,0,0,1,14,
4. Phase 1A - M6 Task Console,M6-01,Task model + queue,backend/internal/model/task,"Schema task (type, priority, due, assignee, related_creator), queue persistence",M,P0,Ready,,0,1,16,0,0,2,0,1,1,21,
4. Phase 1A - M6 Task Console,M6-02,Task generation engine,backend/internal/service/task/generator,"Auto-create task từ lifecycle hooks, SLA breach, schedule",M,P0,Ready,,0,1,16,0,0,2,0,1,1,21,
4. Phase 1A - M6 Task Console,M6-03,Task Console UI,admin/src/pages/tasks,"My queue, team queue, filter (priority/type/due), bulk done, snooze",L,P0,Ready,§D5 mockup,0,1,8,0,32,4,2,1,2,50,
4. Phase 1A - M6 Task Console,M6-04,Task detail drawer + actions,admin/src/components/task-drawer,"Drawer với context creator, suggested actions, complete/snooze/reassign",M,P0,Ready,,0,0,4,0,16,2,1,1,1,25,
4. Phase 1A - M7 Comm,M7-01,Conversation thread model,backend/internal/model/conversation,"Schema thread, message, channel (Zalo/Email/manual), tenant-scoped",M,P0,Ready,,0,1,12,0,0,2,0,1,1,17,
4. Phase 1A - M7 Comm,M7-02,Zalo OA Business integration,backend/internal/module/zalo,"Send + receive webhook, template management, attachment",L,P0,Blocked,§G1 Zalo OA approval,0,2,32,0,0,4,0,2,2,42,Critical for Phase 2
4. Phase 1A - M7 Comm,M7-03,Email integration (SES inbound + outbound),backend/internal/module/email,"Send templated, receive reply qua SES inbound rule, parse vào thread",M,P0,Ready,,0,1,16,0,0,2,0,1,1,21,
4. Phase 1A - M7 Comm,M7-04,Conversation UI (admin),admin/src/pages/conversations,"Inbox unified, filter, reply composer, template picker, attachment",L,P0,Ready,§D6 mockup,0,1,8,0,32,4,2,1,2,50,
4. Phase 1A - M7 Comm,M7-05,Template library + version control,admin/src/pages/templates,"CRUD template, placeholder system, A/B variant, approval workflow",M,P0,Ready,,0,1,8,0,16,2,1,1,1,30,
4. Phase 1A - M13 Multi-tenant,M13-01,Tenant config UI (branding/SLA/notification),admin/src/pages/tenants/[id]/settings,"Per-tenant: logo, color, SLA defaults, notification rules, working hours",M,P0,Ready,,0,1,8,0,16,2,2,1,1,31,
4. Phase 1A - M13 Multi-tenant,M13-02,Tenant data isolation tests,backend/test/tenant,"Test cross-tenant query không leak, RBAC enforce, audit trail",M,P0,Ready,,0,1,8,0,0,8,0,0,1,18,Critical security
4. Phase 1A - M13 Multi-tenant,M13-03,Brand portal cho tenant viewer (read-only),admin/src/pages/brand-portal,"View dashboard riêng cho TCB/VinFast staff, không sửa data, chỉ xem report",M,P0,Ready,,0,1,4,0,16,2,1,1,1,26,
4. Phase 1A - M14 Notify,M14-01,In-app notification center,admin/src/components/notification-center + backend/notify,"Bell icon, dropdown list, mark read, preferences",M,P0,Ready,,0,0,12,0,12,2,1,1,1,29,
4. Phase 1A - M14 Notify,M14-02,Email notification engine,backend/internal/module/notify/email,"Template per event type, digest option, unsubscribe per type",M,P0,Ready,,0,0,12,0,4,2,1,1,1,21,
4. Phase 1A - M14 Notify,M14-03,Notification preferences UI,admin/src/pages/profile/notifications,"User chọn loại notify (email/in-app), tần suất, quiet hours",S,P0,Ready,,0,0,4,0,8,1,1,0,0,14,
5. Phase 1B - M3 Scoring,M3-01,Score formula engine,backend/internal/service/scoring,"5 dimensions (audience/GMV/brand-safety/strategic/behavioral), weight config",L,P1,Ready,§D7 weights final,0,2,32,0,0,4,0,3,2,43,
5. Phase 1B - M3 Scoring,M3-02,Tier mapping (Bronze/Silver/Gold/Diamond),backend/internal/service/scoring/tier,"Threshold rules, manual override, tier change history",M,P1,Ready,,0,1,12,0,0,2,0,1,1,17,
5. Phase 1B - M3 Scoring,M3-03,Score breakdown UI,admin/src/components/score-breakdown,"Hiển thị 5 dimension breakdown, lý do, suggestion cải thiện",M,P1,Ready,,0,0,4,0,16,2,2,1,1,26,
5. Phase 1B - M3 Scoring,M3-04,Re-score job (scheduled + on-demand),backend/internal/job/rescore,"Cron daily, on-demand button, batch processing",S,P1,Ready,,2,0,8,0,2,1,0,0,1,14,
5. Phase 1B - M4 SLA,M4-01,SLA timer engine,backend/internal/service/sla,"Per-tenant SLA rules, business hours aware, pause/resume on holds",L,P1,Ready,,0,2,24,0,0,4,0,2,2,34,
5. Phase 1B - M4 SLA,M4-02,Escalation chain,backend/internal/service/sla/escalation,"L1 → L2 → Manager, notification + reassign khi breach",M,P1,Ready,,0,1,12,0,0,2,0,1,1,17,
5. Phase 1B - M4 SLA,M4-03,SLA dashboard,admin/src/pages/sla,"Real-time: at-risk count, breached count, per-owner stats, trend",M,P1,Ready,§D8 mockup,0,0,8,0,16,2,2,1,1,30,
5. Phase 1B - M4 SLA,M4-04,SLA badge in Task Console + trang chi tiết creator,admin/src/components/sla-badge,"Badge màu (green/yellow/red) hiển thị khắp nơi",S,P1,Ready,,0,0,2,0,8,1,1,0,0,12,
5. Phase 1B - M10 Sync,M10-01,Performance sync from ambassador,backend/internal/job/sync/ambassador,"Daily pull GMV, click, conversion từ ambassador.koc.com.vn API",M,P1,Blocked,§G2 ambassador API,0,1,16,0,0,2,0,1,1,21,
5. Phase 1B - M10 Sync,M10-02,Performance data model,backend/internal/model/performance,"Schema daily snapshot, aggregations, retention policy",M,P1,Ready,,0,1,12,0,0,2,0,1,1,17,
5. Phase 1B - M10 Sync,M10-03,Influence-meter integration,backend/internal/module/influence,"Pull engagement, follower trend, brand-safety từ Diso influence-meter",M,P1,Ready,,0,1,12,0,0,2,0,1,1,17,
5. Phase 1B - M11 Care,M11-01,Care insights engine,backend/internal/service/care/insights,"Detect drop in performance, suggest actions, weekly digest per owner",M,P1,Ready,,0,1,16,0,0,2,0,1,1,21,
5. Phase 1B - M11 Care,M11-02,Care widget trên trang chi tiết creator,admin/src/components/care-widget,"Hiển thị trend, alert, suggested next action",M,P1,Ready,,0,0,4,0,12,1,1,1,1,20,
5. Phase 1B - M11 Care,M11-03,Care plays (template action sequences),admin/src/pages/care-plays,"CRUD play (sequence of tasks), trigger by condition",M,P1,Ready,,0,1,12,0,12,2,0,1,1,29,
5. Phase 1B - M15 Reporting,M15-01,Report data warehouse,backend/internal/job/etl,"Daily ETL từ MongoDB → analytics store (BigQuery/ClickHouse)",L,P1,Ready,,4,2,24,0,0,2,0,1,2,35,
5. Phase 1B - M15 Reporting,M15-02,Reporting dashboard (per-tenant),admin/src/pages/reports,"GMV, creator funnel, owner performance, SLA stats, exportable",L,P1,Ready,§D9 mockup,0,1,8,0,40,4,3,2,2,60,
5. Phase 1B - M15 Reporting,M15-03,Scheduled report email,backend/internal/job/report-mail,"Weekly/monthly digest tự động gửi tenant viewer",S,P1,Ready,,1,0,8,0,2,1,1,0,0,13,
5. Phase 1B - M15 Reporting,M15-04,CSV export with async job,backend/internal/job/export + admin UI,"Lớn dataset → async job + polling progress + download link",M,P1,Ready,,1,0,8,0,8,2,0,0,1,20,
5. Phase 1B - M16 Vault,M16-01,Relationship vault model,backend/internal/model/vault,"Schema vault entry per creator (private notes, history, key dates, IP-protected)",M,P1,Ready,,0,1,12,0,0,2,0,2,1,18,
5. Phase 1B - M16 Vault,M16-02,Anti-poach lock + cross-BD warning,backend/internal/service/vault/lock,"Creator lock 90 days post-fail, warning UI khi BD khác submit trùng",M,P1,Ready,,0,1,12,0,4,2,0,1,1,21,
5. Phase 1B - M16 Vault,M16-03,Offboarding ceremony workflow,admin/src/pages/offboarding,"6-step ceremony: handover notes, transfer ownership, close conversations, vault preserve, audit, signature",L,P1,Ready,§D10 mockup,0,1,12,0,24,4,2,2,2,47,
6. Phase 2 - L1 Ingestion,L1-01,Metric POC integration adapter,backend/internal/module/metric-poc,"Pull creator data từ Metric POC scraper, normalize schema",M,P2,Ready,,0,1,16,0,0,2,0,1,1,21,
6. Phase 2 - L1 Ingestion,L1-02,Hard-filter ingest pipeline,backend/internal/service/ingest/filter,"Rule: ≥10K follower, VN content, ≥2% engagement, active 90d, not bot",M,P2,Ready,,0,1,12,0,0,2,0,1,1,17,
6. Phase 2 - L1 Ingestion,L1-03,Threads scraper (mới),backend/internal/module/scraper/threads,"Scraper Threads riêng (Metric POC chưa hỗ trợ)",M,P2,Ready,,2,1,16,0,0,2,0,0,1,22,
6. Phase 2 - L1 Ingestion,L1-04,Manual upload creator (BD),admin/src/pages/sourcing/upload,"BD upload Excel danh sách creator, auto enrich + score",S,P2,Ready,,0,0,4,0,8,1,0,1,1,15,
6. Phase 2 - L1 Ingestion,L1-05,Sourcing pool storage + indexing,backend/internal/model/pool,"Schema pool, indices cho query nhanh theo industry/follower/score",M,P2,Ready,,0,1,12,0,0,2,0,1,1,17,
6. Phase 2 - L2 Enrichment,L2-01,Influence-meter enrichment job,backend/internal/job/enrich,"Resolve profile, audience demographics, engagement, content category qua influence-meter",L,P2,Ready,,0,1,24,0,0,2,0,1,1,29,
6. Phase 2 - L2 Enrichment,L2-02,Brand-safety scan,backend/internal/service/enrich/safety,"Scandal detect, blacklist check, sensitive content flag",M,P2,Ready,,0,1,16,0,0,2,0,1,1,21,
6. Phase 2 - L2 Enrichment,L2-03,Periodic re-enrich scheduler,backend/internal/job/re-enrich,"Monthly batch re-enrich, on-outreach immediate refresh",S,P2,Ready,,1,0,8,0,0,1,0,0,1,11,
6. Phase 2 - L3 Scoring,L3-01,Sourcing score formula (5 criteria),backend/internal/service/sourcing/score,"Follower fit + engagement + niche match + brand-safety + behavioral",L,P2,Ready,,0,2,24,0,0,2,0,2,2,32,
6. Phase 2 - L3 Scoring,L3-02,Industry classifier (NLP + image),backend/internal/service/sourcing/classify,"NLP caption + image classification → industry tag",L,P2,Ready,,0,2,24,0,0,2,0,1,2,31,
6. Phase 2 - L3 Scoring,L3-03,Predicted tier estimator,backend/internal/service/sourcing/predict,"Predict tier (Bronze/Silver/Gold/Diamond) trước khi creator vào AT",M,P2,Ready,,0,1,16,0,0,2,0,1,1,21,
6. Phase 2 - L3 Scoring,L3-04,Match score per campaign,backend/internal/service/sourcing/match,"Khi BD chọn campaign cụ thể, tính match score với context campaign",M,P2,Ready,,0,1,12,0,0,2,0,1,1,17,
6. Phase 2 - L3 Scoring,L3-05,Score retraining pipeline,backend/internal/job/retrain,"Weekly retrain với feedback từ outreach result",L,P2,Ready,,1,2,24,0,0,2,0,1,2,32,
6. Phase 2 - L4 Inbox,L4-01,Sourcing Inbox UI,admin/src/pages/sourcing/inbox,"Batch list, filter, detail view, bulk approve/reject",L,P2,Ready,,0,1,8,0,32,4,2,1,2,50,
6. Phase 2 - L4 Inbox,L4-02,Approval cascade workflow,backend/internal/service/sourcing/approval,"Lead → Compliance auto-pass + sample → Brand optional, SLA 24h",M,P2,Ready,,0,1,16,0,4,2,0,1,1,25,
6. Phase 2 - L4 Inbox,L4-03,Compliance review queue,admin/src/pages/sourcing/compliance,"Pending review tab, audit checklist, approve/reject với reason",M,P2,Ready,,0,0,4,0,16,2,1,1,1,25,
6. Phase 2 - L5 Outreach,L5-01,Outreach template manager,admin/src/pages/sourcing/templates,"CRUD template, placeholder, version, Compliance approval gate",M,P2,Ready,,0,1,8,0,16,2,1,1,1,30,
6. Phase 2 - L5 Outreach,L5-02,Warm-up + throttling scheduler,backend/internal/service/outreach/scheduler,"Daily limit, ramp up, business hours, holidays, per-tenant rate",L,P2,Ready,,0,2,24,0,0,4,0,1,2,33,Critical anti-spam
6. Phase 2 - L5 Outreach,L5-03,Outreach send job,backend/internal/job/outreach-send,"Pull from queue, render template, send qua Zalo OA, log",M,P2,Ready,,0,1,16,0,0,2,0,1,1,21,
6. Phase 2 - L5 Outreach,L5-04,Suppression list management,backend/internal/service/outreach/suppression,"Opt-out, fail-lock 90d, claimed-by-other, active-in-CRM rules",M,P2,Ready,,0,1,12,0,4,2,0,1,1,21,
6. Phase 2 - L5 Outreach,L5-05,Opt-out flow + landing page,event-fe/src/app/optout + backend,"One-click opt-out link, confirmation, suppression auto-add",S,P2,Ready,,0,0,4,4,0,1,1,0,0,10,
6. Phase 2 - L5 Outreach,L5-06,Response handler + sentiment,backend/internal/service/outreach/response,"Webhook receive Zalo reply, NLP sentiment, auto-route positive → Phase 1",M,P2,Ready,,0,1,16,0,0,2,0,1,1,21,
6. Phase 2 - L5 Outreach,L5-07,A/B test engine cho template,backend/internal/service/outreach/ab,"Split traffic 50/50, measure response, promote winner",M,P2,Ready,,0,1,12,0,4,2,0,1,1,21,
6. Phase 2 - L6 BD Request,L6-01,BD Request form UI,admin/src/pages/sourcing/request,"Form brand/industry/follower/qty/deadline + special req free text",M,P2,Ready,,0,0,4,0,16,2,2,1,1,26,
6. Phase 2 - L6 BD Request,L6-02,AI suggest engine,backend/internal/service/sourcing/suggest,"Receive request, query pool with score + classifier, return top N + reasons",L,P2,Ready,,0,2,24,0,0,2,0,2,2,32,
6. Phase 2 - L6 BD Request,L6-03,Cross-BD coordination + warnings,backend/internal/service/sourcing/coord,"Check claim, in-outreach, active flags, return warnings to UI",M,P2,Ready,,0,1,12,0,4,2,0,1,1,21,
6. Phase 2 - L6 BD Request,L6-04,BD personal dashboard,admin/src/pages/sourcing/my-requests,"Submitted batches, status, response/conversion stats",M,P2,Ready,,0,0,4,0,16,2,1,1,1,25,
6. Phase 2 - L6 BD Request,L6-05,Request templates + reuse,admin/src/pages/sourcing/request-templates,"Save request as template, share trong team, recommended template",S,P2,Ready,,0,0,4,0,8,1,0,1,0,14,
6. Phase 2 - L7 Attribution,L7-01,UTM tracking infrastructure,backend/internal/middleware/utm + outreach,"Inject UTM mỗi outreach link, track clicks, attribute conversions",M,P2,Ready,,0,1,12,0,0,2,0,1,1,17,
6. Phase 2 - L7 Attribution,L7-02,Conversion funnel data model,backend/internal/model/funnel,"Outreached → Read → Responded → Met → Active → First GMV stages",M,P2,Ready,,0,1,12,0,0,2,0,1,1,17,
6. Phase 2 - L7 Attribution,L7-03,GMV attribution job,backend/internal/job/attribute,"Daily compute attribution: source batch → revenue tracking",M,P2,Ready,,0,1,12,0,0,2,0,1,1,17,
6. Phase 2 - L7 Attribution,L7-04,Sourcing analytics dashboard,admin/src/pages/sourcing/analytics,"Funnel, response rate, conversion, GMV per BD/brand/industry",L,P2,Ready,,0,1,8,0,32,4,3,2,2,52,
6. Phase 2 - L7 Attribution,L7-05,Brand auto-report (weekly/monthly),backend/internal/job/brand-report,"PDF/email auto cho brand: new creators, GMV, ROI",M,P2,Ready,,1,0,12,0,4,2,1,1,1,22,
6. Phase 2 - L7 Attribution,L7-06,Feedback loop export cho ML,backend/internal/job/ml-export,"Weekly export labelled dataset cho retrain L3 scoring model",S,P2,Ready,,1,1,8,0,0,1,0,1,0,12,
7. QA & Launch,QA-01,Smoke test Phase 0 event flow,event-fe + backend,"E2E: register → wow page → profile card → email confirm",M,P0,Ready,,0,0,0,0,0,12,0,0,2,14,
7. QA & Launch,QA-02,Smoke test Phase 1A CRM core,admin + backend,"E2E: tenant onboard → creator import → assign → task → conversation",L,P0,Ready,,0,0,0,0,0,24,0,1,2,27,
7. QA & Launch,QA-03,Smoke test Phase 1B VIP,admin + backend,"E2E: scoring → tier → SLA breach → escalation → reporting → vault offboard",L,P1,Ready,,0,0,0,0,0,20,0,1,2,23,
7. QA & Launch,QA-04,Smoke test Phase 2 sourcing,admin + backend,"E2E: BD request → AI suggest → approve → outreach → response → CRM handoff",L,P2,Ready,,0,0,0,0,0,24,0,1,2,27,
7. QA & Launch,QA-05,Multi-tenant isolation security test,backend,"Cross-tenant data leak, RBAC bypass, audit verification",M,P0,Ready,,2,1,4,0,0,16,0,0,2,25,
7. QA & Launch,QA-06,Zalo OA spam-flag stress test,backend,"Simulate warm-up sequence, verify throttling, opt-out, suppression",M,P2,Blocked,§G1,0,0,4,0,0,8,0,0,2,14,
7. QA & Launch,QA-07,Performance + load test,backend + infra,"Load test API, DB query, concurrent user, identify bottleneck",M,P1,Ready,,4,1,4,0,0,12,0,0,2,23,
7. QA & Launch,QA-08,Browser compat + responsive,event-fe + admin,"Chrome/Safari/Firefox/iOS Safari/Android Chrome, responsive breakpoints",M,P0,Ready,,0,0,0,2,2,12,1,0,1,18,
7. QA & Launch,QA-09,Accessibility audit,event-fe + admin,"WCAG AA contrast, keyboard nav, screen reader basic",S,P1,Ready,,0,0,0,4,4,4,2,0,0,14,
7. QA & Launch,QA-10,UAT với AT team,All,"AT team UAT 1-2 tuần, bug bash, feedback collection",L,P0,Ready,,0,0,8,4,8,16,0,4,8,48,
7. QA & Launch,QA-11,Production deployment Phase 0,Infra,"Deploy event flow trước event 7/5/2026 + monitoring",M,P0,Ready,,8,1,2,1,0,4,0,0,2,18,
7. QA & Launch,QA-12,Production deployment Phase 1A,Infra,"Deploy CRM MVP + tenant onboarding + smoke test prod",M,P0,Ready,,8,1,4,1,2,4,0,1,2,23,
7. QA & Launch,QA-13,Production deployment Phase 1B,Infra,"Deploy VIP layer + scoring/SLA/vault + monitor",M,P1,Ready,,8,1,4,0,2,4,0,1,2,22,
7. QA & Launch,QA-14,Production deployment Phase 2,Infra,"Deploy sourcing pipeline + Zalo OA warm-up start",M,P2,Ready,,8,1,4,0,2,4,0,1,2,22,
7. QA & Launch,QA-15,Post-launch monitoring (4 tuần),Infra + backend,"Monitor logs, bugs, support tickets, hotfix",L,P0,Ready,,16,0,16,4,4,16,0,2,8,66,
8. PM & BA & Design,PM-01,Discovery + requirements (per phase),Doc,"BA + PM workshops AT team, finalize scope per phase",L,P0,Ready,,0,0,0,0,0,0,0,40,40,80,
8. PM & BA & Design,PM-02,Mockup design system + tokens,Figma,"Design tokens, component library, branding variants per tenant",L,P0,Ready,,0,0,0,0,0,0,80,2,4,86,
8. PM & BA & Design,PM-03,Mockup screens (Phase 0 event),Figma,"Landing + form + welcome + profile card + email templates",M,P0,Ready,,0,0,0,0,0,0,40,2,2,44,
8. PM & BA & Design,PM-04,Mockup screens (Phase 1A CRM MVP),Figma,"~25 screens core CRM (creator list/360/task/conv/owner/admin)",L,P0,Ready,,0,0,0,0,0,0,80,4,4,88,
8. PM & BA & Design,PM-05,Mockup screens (Phase 1B VIP),Figma,"~15 screens (scoring/SLA/reporting/vault offboarding)",M,P1,Ready,,0,0,0,0,0,0,48,4,4,56,
8. PM & BA & Design,PM-06,Mockup screens (Phase 2 sourcing),Figma,"~12 screens (BD request/inbox/outreach/analytics)",M,P2,Ready,,0,0,0,0,0,0,40,4,4,48,
8. PM & BA & Design,PM-07,Sprint planning + standup + report,All,"4 phases × ~16 weeks total, sprint ceremonies, status reports",L,P0,Ready,,0,0,0,0,0,0,0,16,80,96,
8. PM & BA & Design,PM-08,Stakeholder communication AT,All,"Weekly demo, monthly steering, change request management",L,P0,Ready,,0,0,0,0,0,0,0,8,40,48,
,,,TOTAL,,,,,,133,105,1249,111,671,406,382,196,337,3590,Total ~449 person-days @ 8h/day - 131 tasks
