Danh mục chức năng,Tên chức năng,Thời gian dự kiến,Priority,Lợi ích cho Brand,Lợi ích cho Influencer,Lợi ích cho Admin,Cách hoạt động,Ví dụ
CAMPAIGN ENHANCEMENTS,Social Media Schema Extension - Threads & Facebook Posts Support,1/3 → 15/3,P1,"Tăng reach 40% (Threads 2M+ users VN, Facebook 70M+). Tracking chính xác theo platform để adjust strategy.","Tăng cơ hội kiếm tiền 3x (post được 3 platforms). Chọn platform phù hợp audience. Dashboard hiển thị CTR của từng platform.","N/A","Bổ sung Threads và Facebook Posts vào danh sách platforms. Facebook Posts tính thưởng theo followers của Page thay vì views (1k-5k followers: 100k, 5k-10k: 200k, 10k-50k: 500k, >50k: 1000k). Threads vẫn tính theo views.","Influencer A có Page 25k followers → Reward tier 500k/post khi post về campaign. Option khác: Post Threads đạt 30k views → Reward 30k VND."
CAMPAIGN ENHANCEMENTS,Pre-Submission Checklist System,15/3 → 31/3,P0,"Quality tăng - chỉ influencers đủ điều kiện mới submit, ít phải review hồ sơ kém chất lượng.","Tiết kiệm thời gian 80% - biết ngay thiếu gì. Tự đánh giá trước khi submit. UX tốt hơn, không bị bối rối.","Giảm workload 30% (ít hồ sơ rác). Giảm support tickets 50% (users tự check trước).","User click ""Tham gia campaign"" → System check requirements real-time. Hiển thị checklist (tài khoản tuổi, email verified, follower count, link Pub2). Button ""Tham gia"" disable nếu chưa đạt yêu cầu. User fix issues → Re-check → Enable button.","Trước: 100 submissions → 30 rejected → 30 support tickets. Sau: 70 submissions (qualified) → 10 rejected → 5 support tickets. Admin tiết kiệm 3h/campaign."
CAMPAIGN ENHANCEMENTS,Bonus Reward System - Performance Incentives,15/3 → 31/3,P1,"ROI cao hơn - chỉ thưởng khi có results. Top performers gắn bó (retention +15%). Push quality lên.","Tăng thu nhập 10-30% (Top 3 nhận +30%). Động lực cạnh tranh với leaderboard public. Minh bạch tiêu chí ranking.","Tự động hóa - system tự tính ranking và bonus. Dashboard hiển thị top performers.","System collect data: conversions (50%), CTR (30%), quality score (20%). Tính composite score → Rank 1-N. Bonus tiers: Top 1-3 (+30%), Top 4-10 (+20%), Top 11-20 (+10%). Payout = base_reward × (1 + bonus_percentage).","Influencer A - Top 1: 15 conversions (7.5 điểm) + 12% CTR (3.6 điểm) + Quality 4.5/5 (1.8 điểm) = 12.9 điểm. Base reward 500k → Final 650k (+30% bonus)."
INFLUENCER LIBRARY,Influencer Library - Build & Own Database,16/3 → 15/4,P0,"Sở hữu database riêng để tái sử dụng. Giảm risk 60% (chọn từ pool đã verify). Tiết kiệm 80% thời gian casting (10h → 2h). Data-driven decisions. Blacklist & Whitelist. Relationship management.","Tăng visibility (profile xuất hiện trong library của nhiều brands). Track record minh bạch. Được ưu tiên cho campaigns tiếp theo.","Tự động aggregate data từ 4 sources. 360° influencer view (social stats + performance + ratings + history). Monetization opportunity (Premium Library Access).","Aggregate data từ 4 sources: (1) Influencer Onboarding, (2) Social Auto-Crawl daily (Facebook/Instagram/TikTok APIs), (3) Campaign Performance History (completion rate, avg views, CTR, CVR), (4) Brand Ratings 1-5 stars. Brand có thể Whitelist (Favorites) hoặc Blacklist influencers. Monetization: Free tier (top 50 profiles), Premium (500k/month - full access), Enterprise (custom).","Brand A lần 1: Browse library → Tìm 20 influencers Finance → Rate sau campaign (A,B,C excellent → Favorites; D,E poor → Blacklist). Lần 2 (3 tháng sau): Bulk invite Favorites A,B,C → Tiết kiệm 8h research. Lần 3: Upgrade Premium → Access 1000+ profiles, filter advanced, export CSV."
INFLUENCER LIBRARY,Influencer Library - Discovery & Exploration,16/4 → 30/4,P0,"Tìm đúng người trong 30s. Advanced filters (engagement, past performance, price). Save time 80% (10h → 2h).","Được discover dễ hơn (profile match đúng niche). AI suggest ""Influencers tương tự"" → Brands discover thêm options.","N/A","Search bar + Filter sidebar (niche, location, followers, engagement, price, availability). System execute query → Results grid/list view. Sort options (relevance, price, followers, recent campaigns). AI suggest ""Influencers tương tự"" based on niche, followers ±20%, quality score ±10 points.","Brand A (Mỹ phẩm) search ""Beauty blogger Hà Nội"" + Filter 10k-50k followers, engagement >5%, price <1M → 15 matches. Sort by Quality Score. Click Influencer B → AI suggest C (35k followers, score 85) và D (28k followers, score 82). Book B + C trong 2 phút thay vì 2 giờ."
INFLUENCER LIBRARY,Influencer Library - Scoring & Matching Engine,1/5 → 15/5,P1,"Match tự động 90% accurate (AI suggest top 10). Predict success rate (85% chance). Giảm bias (quyết định dựa data).","Score minh bạch (Quality Score 87/100). Được suggest cho đúng campaigns.","N/A","Calculate Quality Score (0-100): Social metrics (30%) + Engagement rate (25%) + Brand ratings (25%) + Campaign completion (20%). Score Tiers: Elite (90-100), Excellent (80-89), Good (70-79), Average (60-69), Poor (<60). Matching: Brand tạo campaign → System tìm influencers match criteria → Rank theo relevance score → AI suggest top 10 với predicted success rate.","Campaign thẻ tín dụng cần 50 influencers Finance: Influencer A score = (85×0.3) + (8%×5×0.25) + (4.8×10×0.25) + (95%×20×0.2) = 66.5/100. Match niche Finance 100%, followers >10k ✅, Location HN ✅ → Relevance 95%. Predicted success 85%."
INFLUENCER LIBRARY,Influencer Library - Booking & Reservation System,15/5 → 30/5,P1,"Commitment rõ ràng (book → confirm → deal chắc chắn). Deposit 30% lock deal. Avoid conflicts (check availability).","Tránh overload (không bị book 5 campaigns cùng lúc). Nhận deposit trước (30% upfront). Calendar integration.","Tự động check conflicts. Track bookings (dashboard hiển thị pending/confirmed).","Brand browse Library → Click ""Book Now"" → Popup hiển thị influencer calendar. Fill booking form (dates, deliverables, fee). Submit → System check availability → Charge deposit 30% → Notify influencer. Influencer review: Accept (status confirmed, calendar blocked, receive deposit) / Decline (refund) / Counter-offer. Campaign execution → Final deliverable → Release remaining 70%.","Brand A book Influencer B cho ""Thẻ tín dụng review"" dates 1-7/5, fee 500k. Deposit 30% = 150k. Influencer B accept → Calendar blocked → Nhận 150k. 1-7/5: Tạo video. Ngày 7/5: Submit → Brand approve. Ngày 8/5: Nhận 70% remaining = 350k. Total 500k."
AFFILIATE CENTER,Connect Affiliate Programs to Campaigns,1/4 → 30/4,P0,"Tăng conversion (influencers motivated tạo content quality). Win-win (brand gets sales, influencer gets commission). ROI rõ ràng (track views + clicks + conversions).","Tăng thu nhập 2-10x (1 video earn view reward + affiliate commission up to 2,550k). 1 content, 2 income streams. Dashboard thống nhất.","N/A","QUAN TRỌNG: Affiliate tracking do Pub2 AccessTrade quản lý. Platform chỉ tích hợp qua API. Admin setup campaign link đến Pub2 Program ID. Influencer click ""Generate Link"" → Platform call Pub2 API → Pub2 tạo affiliate link với sub_id tracking → Return link. User clicks → Pub2 tracking. Conversion → Pub2 gửi webhook. Dashboard tổng hợp: Platform reward + Pub2 commission.","Influencer A tạo video review thẻ tín dụng: Stream 1 - View reward 50k (100k views). Stream 2 - Affiliate commission: Generate link pub2.vn/brandA?sub_id=influencerA_campaign123 → 500 clicks → 5 conversions × 500k = 2,500k. Total: 50k + 2,500k = 2,550k từ 1 video."
SYSTEM IMPROVE,Fraud Detection - Enhancement & Optimization,16/4 → 15/5,P0,"Tiết kiệm 200M+ VND/năm (phát hiện 80%+ fake views). Bảo vệ ROI (chỉ trả tiền cho views thật). Risk mitigation (ML detect fraud patterns).","Fair competition (cheaters bị catch). Không bị ảnh hưởng (false positive <5%).","Automation (ML tự detect). Real-time blocking (phát hiện fraud trong 24h).","Phase 1 (ĐÃ CÓ): View count validation, engagement rate check, growth pattern analysis, duplicate content detection. Phase 2 (MỚI - ML): Bot view detection (timing, geographic, retention patterns). Fake engagement detection (generic comments, likes pattern). Follower quality check (% bot accounts). Cross-platform consistency. Fraud score 0-0.3 (legitimate) / 0.3-0.7 (manual review) / 0.7-1.0 (auto-reject).","Influencer A (Fraud): 100k views trong 2h, 95% từ Indonesia, avg watch time 3s, ER 0.05% → Fraud score 0.85 → Auto-reject. Influencer B (Legitimate): 50k views trong 7 ngày, 90% từ VN, avg watch time 4m30s, ER 5.4% → Fraud score 0.05 → Auto-approve. Brand tiết kiệm 200M/năm."
SYSTEM IMPROVE,Setup Editor - AI Agent Assistant,1/4 → 15/4,P1,"Tạo campaign nhanh 5x (2h → 20 phút). Consistency (không miss required fields). Learning từ best practices. Smart budget suggestion.","N/A","N/A","Brand nhập brief ngắn gọn (product, target, budget). AI analyze và suggest: Parse keywords → Search similar past campaigns → Extract patterns. AI generate campaign draft (title, description, niche, requirements, budget, timeline, T&C). Brand review AI suggestions → Edit nếu cần → Approve & Publish. AI Training: GPT-4 fine-tuned trên 200+ past campaigns.","Brand A input brief: ""Campaign review thẻ tín dụng Brand A, target Gen Z, budget 30M"". AI generates trong 10s: Title ""Review Thẻ Tín Dụng Brand A - Đặc Quyền Gen Z"", Niche Finance, Requirements 10k+ followers, Budget 30M (60 × 500k), Timeline 15 ngày, T&C auto-generated. Brand review → Approve. Tiết kiệm 100 phút."
SYSTEM IMPROVE,Operations Manager - Task Management & Performance Scoring,1/5 → 30/5,P1,"N/A","N/A","Quản lý task hiệu quả (dashboard ""12 pending tasks""). SLA tracking với cảnh báo deadline. Performance-based bonus (score 95 → +20% bonus). Workload balancing (system auto-assign).","Task Creation (auto + manual): Auto tasks (review submission, approve payout), Manual tasks (generate report). Task Assignment (round-robin or manual). Task Dashboard (pending/in-progress/completed, filter by priority/SLA). SLA Enforcement (alerts 2h before deadline, escalate if passed). Performance Scoring: Score = Completion (50%) + Speed (30%) + Quality (20%). Tiers: Elite (90-100, +20% bonus), Excellent (80-89, +10%), Good (70-79), Average (60-69), Poor (<60, warning).","Admin A tuần 1: 15 tasks, complete 12 (80%), avg time 2.5h (83%), quality 4.5/5 (90%) → Score 82.9 → Good tier. Tuần 2: Complete 14/15 (93%), 0 missed SLA, speed 90%, quality 95% → Score 92.5 → Excellent → +20% bonus. Earn 10M + 2M bonus = 12M VND tháng đó."
SYSTEM IMPROVE,Brand Portal - Dashboard Modernization,15/3 → 31/3,P1,"Quick insights (auto-refresh khi có data mới, không cần F5). Beautiful UI (shadcn/ui). Mobile-friendly. Custom views (brand quan tâm ROI → highlight ROI metrics).","N/A","N/A","Dashboard Components: (1) Campaign Overview Cards (Total Reach, Conversions, Budget Used, ROI), (2) Performance Charts (Views Over Time, Conversion Funnel, Top Influencers), (3) Budget Tracking, (4) Real-time Feed, (5) Quick Actions. Real-time Updates: WebSocket connection, server push updates mỗi 5s. Customization: Brand A highlight ROI/CVR, Brand B highlight Reach/Engagement.","Brand A campaign ""Thẻ tín dụng review"": Real-time Feed (9:05 Influencer A submitted, 9:12 Influencer B clicked Generate Link, 9:28 Reached 50k views, 9:35 Influencer C earned 500k). Overview Cards (2.5M views ↑12%, 45 conversions ↑8 today, 18M/30M budget 60%, ROI 3.5x). Performance Chart (Views 0→2.5M trong 15 ngày, Funnel 2.5M→125k clicks→45 signups 1.8% CVR)."
SYSTEM IMPROVE,Automated Campaign Lifecycle,15/5 → 30/5,P1,"Tự động hóa 70% workflow (manual 10h → 3h/campaign). Không bỏ sót steps. Audit trail (track ai làm gì khi nào). Notification tự động.","N/A","N/A","5-Stage Lifecycle: Stage 1 BRIEF (Brand Team, 2 days): Input goals/audience/budget → Output brief doc → Notify Marketing Manager. Stage 2 DISCOVERY (Marketing, 3 days): Use AI Agent + Browse Library → Output influencer shortlist + campaign draft → Notify Finance. Stage 3 BUDGETING (Finance, 1 day): Review costs → Approve budget → Notify Director. Stage 4 APPROVAL (Director, 2 days): Review package → Approve → Publish campaign → Notify Operations. Stage 5 EXECUTION (Operations, 30 days): Book influencers → Monitor → Review → Payout → Generate report.","Campaign ""Thẻ tín dụng review"": Day 1-2 Brief submitted → Notify Marketing. Day 3-5 Discovery (AI draft, select 50 influencers) → Notify Finance. Day 6 Budgeting (50×500k=25M approved) → Notify Director. Day 7-8 Director approve → Publish → Notify Ops. Day 9-30 Execution (book 50, monitor, payout). Day 31 Report → Complete. Timeline: 15 days setup + 30 days execution = 45 days."
SYSTEM IMPROVE,Influencer Portal - UX/UI Modernization,15/5 → 30/5,P1,"N/A","Navigation nhanh 3x (1-2 clicks thay vì 5-6). Mobile-first (80% dùng điện thoại). Onboarding smooth (hiểu trong 2 phút). Modern design.","Retention +15% (UX tốt). Fast loading <1s (Next.js SSR). Giảm support tickets (intuitive UI).","UI Improvements: Tech stack: Next.js 15 + TypeScript + Tailwind + shadcn/ui + Framer Motion. Performance: SSR, code splitting, image optimization, CDN (Vercel Edge). Before (Old UI): 6 clicks để join campaign (Login → Campaigns → Scroll → Click → Join → Form → Submit). Page load 3s. User satisfaction 3.2/5. After (Modern UI): 2 clicks để join (Open app → Swipe card → Join 1-click). Page load 0.8s. User satisfaction 4.7/5. Navigation Structure: Bottom Tab Bar (Mobile): Home / Campaigns / Library / Earnings / Profile. Sidebar (Desktop): Collapsible menu với same sections. Onboarding Flow (New Users): Step 1 - Welcome Screen (5s): Giới thiệu platform. Step 2 - Link Pub2 Account (10s): 1-click OAuth integration. Step 3 - Complete Profile (2 mins): Fill basic info (name, niche, socials). Step 4 - Browse First Campaign (30s): Guided tour campaign list. Step 5 - Generate First Link (10s): Demo tạo affiliate link. Step 6 - Done!: Ready to earn. Total onboarding: 3 phút.","Before (Old UI - 6 clicks): Login → Click Campaigns → Scroll list → Click campaign → Click Join → Fill form → Submit. After (Modern UI - 2 clicks): Open app → Bottom tab Campaigns (instant SSR) → Swipe card → Click Join (1-click). Performance: Page load 3s → 0.8s. User satisfaction 3.2/5 → 4.7/5. Onboarding: Welcome (5s) → OAuth (10s) → Profile (2 mins) → Browse (30s) → Generate link (10s) = 3 phút total."