STT,Mục,Module,Feature,Mô tả,Note,Deadline,DevOps,SA,BE,FE,QC,Design,BA,PM,Total (hours)
,,,,,,,,,,,,,,,
,VCREATOR V-APP MINI APP — BÁO GIÁ CHI TIẾT (PHASE 1 MVP),,,,,,,,,,,,,,,
,"Tách 3 mục: A. Integration / B. Thay đổi thiết kế / C. Deploy & Tài liệu. QC tích hợp trong từng feature.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,

,═══════════════════════════════════════,,,,,,,,,,,,,,,
,MỤC A: INTEGRATION (Backend + API cho V-App),,,,,,,,,,,,,,,
,═══════════════════════════════════════,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,

,A,A1. V-APP AUTHENTICATION & INTEGRATION,,,,,,,,,,,,,,,
,,"Backend xác thực token, quản lý session, middleware, config, database.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1,A,A1,Token Verification API,"POST /vapp/auth/verify — Nhận token từ URL, verify với V-App server, trả JWT.","- Gọi V-App API verify token
- Parse user info (phone, email, name, avatar)
- Tạo hoặc lookup VCreator user
- Trả JWT + account match status
- QC: test verify flow e2e",D+5,1,2,16,0,5,0,2,3,29
2,A,A1,Token Refresh,"POST /vapp/auth/refresh — Refresh JWT khi sắp hết hạn.","- Check expiry, re-verify nếu cần
- Issue new JWT
- Handle expired cases
- QC: test refresh + expiry",D+5,0,1,6,0,2,0,1,1,11
3,A,A1,Session Management,"Redis session store, login state, logout cleanup.","- Session timeout config
- Logout cleanup
- Basic device tracking
- QC: test session lifecycle",D+5,0,1,8,0,3,0,1,1,14
4,A,A1,V-App Server Integration,"HTTP client gọi V-App API: verify token, get user info.","- HTTP client + error handling
- Timeout + retry logic
- Basic logging
- QC: test error cases + timeout",D+5,0,2,10,0,4,0,2,2,20
5,A,A1,V-App Config API,"GET /vapp/config — Config cho WebView: version, maintenance mode.","- Feature flags
- Maintenance toggle
- Config cache (Redis)
- QC: test config responses",D+5,0,1,4,0,2,0,1,1,9
6,A,A1,V-App Middleware,"Middleware xác thực V-App JWT trên mọi request.","- Verify JWT
- Inject user context
- Request logging
- QC: test auth rejection + injection",D+5,0,1,6,0,3,0,1,1,12
7,A,A1,Database Migration,"Tạo collection vapp_user_mappings + indexes.","- Migration script
- Indexes
- Rollback script
- QC: verify indexes + rollback",D+5,1,1,4,0,2,0,1,1,10
,,,,,,,,,,,,,,,
,,Module A1 TOTAL,,,,2,9,54,0,21,0,9,10,105,

,,,,,,,,,,,,,,,
,A,A2. ACCOUNT MATCHING,,,,,,,,,,,,,,,
,,"Phát hiện trùng tài khoản + merge/tạo mới.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
8,A,A2,Account Lookup Service,"Tìm VCreator account match theo phone, email.","- Normalize phone (+84)
- Normalize email (lowercase)
- Priority: phone > email
- Trả kết quả match/no-match
- QC: test normalize + matching logic",D+8,0,2,10,0,4,0,2,2,20
9,A,A2,Account Merge Logic,"POST /vapp/account/merge — Link V-App user vào VCreator account cũ.","- Link user ID vào mapping
- Giữ nguyên data cũ
- Tạo vapp_user_mappings record
- QC: test merge + data integrity",D+8,0,1,12,0,4,0,1,2,20
10,A,A2,New Account Creation,"POST /vapp/account/create-new — Tạo VCreator account mới.","- Tạo user từ V-App info
- Tạo mapping record
- Set default settings
- QC: test create + defaults",D+8,0,1,6,0,3,0,1,1,12
,,,,,,,,,,,,,,,
,,Module A2 TOTAL,,,,0,4,28,0,11,0,4,5,52,

,,,,,,,,,,,,,,,
,═══════════════════════════════════════,,,,,,,,,,,,,,,
,MỤC A TỔNG,,,,,,2,13,82,0,32,0,13,15,157,
,═══════════════════════════════════════,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,═══════════════════════════════════════,,,,,,,,,,,,,,,
,MỤC B: THAY ĐỔI THIẾT KẾ (Design + FE Rebuild),,,,,,,,,,,,,,,
,═══════════════════════════════════════,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
11,B,,Project Setup & Config,"Fork frontend-green, cấu hình WebView build, xóa OAuth/desktop code.","- Fork & clean up codebase
- Update umi config cho WebView
- Remove OAuth pages & desktop code
- Environment config (staging/prod)
- QC: verify build + config",D+5,1,3,0,12,3,2,3,4,28
12,B,,Design System & UI Kit,"Thiết kế + implement UI Kit mobile: typography, colors, spacing, components.","- Design: UI Kit (Button, Input, Card, Modal, Toast)
- Design: Color palette, icon set, spacing & grid
- Design: Loading skeleton, empty states, error states
- Implement: React component library
- Implement: Theme provider, layout components
- QC: test components responsive trên mobile",D+8,0,2,0,16,3,13,3,2,39
13,B,,Navigation & Layout,"Thiết kế + implement navigation, header, tab bar, safe area cho mobile WebView.","- Design: Mobile header, back button, tab navigation
- Design: Safe area (notch, status bar), pull-to-refresh
- Design: Page transition patterns
- Implement: Header, tab nav, safe area components
- Implement: Back button navigation + page transitions
- QC: test navigation + safe area trên nhiều thiết bị",D+10,0,1,0,12,3,6,1,1,24
14,B,,Màn hình Auth (Token Loading),"Thiết kế + implement màn hình loading verify token, error states, auto-refresh.","- Design: Token loading screen, verify progress
- Design: Error screen (expired/invalid), retry UI
- Implement: Parse token từ URL params
- Implement: Call /vapp/auth/verify, store JWT
- Implement: Axios interceptor, auto-refresh
- Implement: Loading/error screens theo design
- QC: test auth flow e2e",D+10,0,1,0,12,4,3,1,1,22
15,B,,Màn hình Account Matching,"Thiết kế + implement flow match/merge/tạo mới tài khoản.","- Design: Match result display, account comparison
- Design: Merge confirmation dialog, create new flow
- Design: Success/error states
- Implement: Match result + comparison view
- Implement: Merge confirmation + create new option
- Implement: Animations & transitions
- QC: test match/merge flows",D+10,0,1,0,12,4,4,2,1,24
16,B,,Màn hình Dashboard,"Thiết kế + implement Dashboard mobile.","- Design: Creator stats summary, recent activity
- Design: Quick actions, mobile-optimized layout
- Implement: Rebuild dashboard components
- Implement: Loading skeleton, pull-to-refresh
- QC: test layout + data loading",D+14,0,0,0,10,3,3,1,1,18
17,B,,Màn hình Events & Campaign,"Thiết kế + implement Events list, detail, content posting.","- Design: Event list (card layout), detail page
- Design: Content posting flow, status indicators
- Implement: Event list + detail (new layout)
- Implement: Content posting + image upload via bridge
- QC: test posting + upload",D+14,0,0,0,14,4,4,1,1,24
18,B,,Màn hình KYC/CCCD,"Thiết kế + implement KYC flow mobile (camera/upload via bridge).","- Design: CCCD upload flow (front/back)
- Design: Personal info form, contract signing, status
- Implement: CCCD upload (bridge pickImage)
- Implement: Personal info form + contract signing
- QC: test upload + form validation",D+16,0,0,0,12,4,3,1,1,21
19,B,,Màn hình Bank & Withdraw,"Thiết kế + implement Bank CRUD + Withdraw flow.","- Design: Bank card list, add/edit form
- Design: Withdraw flow, transaction history
- Implement: Bank CRUD (new design)
- Implement: Withdraw flow + cash flow history
- QC: test CRUD + withdraw flow",D+16,0,0,0,10,3,3,1,1,18
20,B,,WebView ↔ Native Bridge,"Bridge đầy đủ cho Mini App.","- postMessage protocol
- pickImage (camera/gallery) → KYC, avatar, bài đăng
- back event handler
- close WebView
- openExternal (link ngoài)
- copyToClipboard (referral code, link)
- share (native share sheet)
- downloadFile (hợp đồng, receipt)
- getDeviceInfo (OS, version, model)
- Loading states cho bridge actions
- QC: test từng bridge action trên Android & iOS",D+12,0,2,0,18,5,0,2,2,29
21,B,,Push Notification & Deep Link,"FCM notification qua native bridge + deep link handling.","- Bridge onNotification event listener
- Deep link routing (notification → page cụ thể)
- Notification permission flow
- Badge count sync
- BE: device token registration API
- BE: notification dispatch logic
- QC: test notification + deep link",D+16,0,1,6,10,4,0,1,2,24
22,B,,Design Review & Iteration,"Review với stakeholder, iterate 2 round.","- Review round 1 với PM/BA
- Feedback incorporation
- Review round 2 với client
- Final sign-off",D+10,0,1,0,0,0,4,2,1,8
,,,,,,,,,,,,,,,
,═══════════════════════════════════════,,,,,,,,,,,,,,,
,MỤC B TỔNG,,,,,,1,12,6,138,40,45,19,18,279,
,═══════════════════════════════════════,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,═══════════════════════════════════════,,,,,,,,,,,,,,,
,MỤC C: DEPLOY & TÀI LIỆU,,,,,,,,,,,,,,,
,═══════════════════════════════════════,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
23,C,,Deployment MVP,"Deploy staging → production.","- Staging deploy
- Production deploy
- DNS/CDN config
- Basic monitoring",D+20,2,1,2,2,2,0,1,2,12
24,C,,API Documentation,"Swagger cho V-App auth + matching endpoints.","- OpenAPI spec
- Request/response examples
- Auth guide",D+18,0,1,2,0,0,0,2,1,6
25,C,,V-App Integration Guide,"Hướng dẫn V-App team load WebView + bridge protocol.","- WebView URL format
- Token spec
- Bridge protocol reference",D+18,0,1,1,1,0,0,2,1,6
26,C,,Design Handoff,"Tài liệu design: UI Kit, component specs, assets.","- Design file export (Figma)
- Component specs
- Icon & asset library
- Style guide",D+18,0,0,0,0,0,2,1,1,4
,,,,,,,,,,,,,,,
,═══════════════════════════════════════,,,,,,,,,,,,,,,
,MỤC C TỔNG,,,,,,2,3,5,3,2,2,6,5,28,
,═══════════════════════════════════════,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,═══════════════════════════════════════,,,,,,,,,,,,,,,
,TỔNG CỘNG (Phase 1 MVP),,,,,,5,28,93,141,74,47,38,38,464,
,═══════════════════════════════════════,,,,,,,,,,,,,,,
